trimestre,serie,tipo,codigo_bcrp,valor
2018-T1,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,5846.97
2018-T2,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,5823.3
2018-T3,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,5982.64
2018-T4,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6186.35
2019-T1,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6122.6
2019-T2,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6250.1
2019-T3,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6217.57
2019-T4,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6188.91
2020-T1,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6271.78
2020-T2,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6504.61
2020-T3,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6667.44
2020-T4,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6823.79
2021-T1,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6896.05
2021-T2,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,7095.65
2021-T3,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,7561.0
2021-T4,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,7303.74
2022-T1,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6974.82
2022-T2,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,7029.29
2022-T3,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,7205.17
2022-T4,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,7277.77
2023-T1,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6914.44
2023-T2,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6783.95
2023-T3,12 DISTRITOS (S/ corrientes/m2),agregado,PD37946PQ,6790.73
